date,Hour,ad_mwh
7/22/2015,4,744
7/22/2015,5,764
7/22/2015,6,812
7/22/2015,7,919
7/22/2015,8,1009
7/22/2015,9,1066
7/22/2015,10,1113
7/22/2015,11,1122
7/22/2015,12,1156
7/22/2015,13,1155
7/22/2015,14,1158
7/22/2015,15,1153
7/22/2015,16,1143
7/22/2015,17,1149
7/22/2015,18,1133
7/22/2015,19,1093
7/22/2015,20,1057
7/22/2015,21,1038
7/22/2015,22,1035
7/22/2015,23,978
7/22/2015,24,886
7/23/2015,1,816
7/23/2015,2,772
7/23/2015,3,755
7/23/2015,4,744
7/23/2015,5,758
7/23/2015,6,816
7/23/2015,7,918
7/23/2015,8,1030
7/23/2015,9,1060
7/23/2015,10,1098
7/23/2015,11,1115
7/23/2015,12,1135
7/23/2015,13,1147
7/23/2015,14,1168
7/23/2015,15,1160
7/23/2015,16,1151
7/23/2015,17,1162
7/23/2015,18,1147
7/23/2015,19,1095
7/23/2015,20,1058
7/23/2015,21,1032
7/23/2015,22,1036
7/23/2015,23,980
7/23/2015,24,897
7/24/2015,1,824
7/24/2015,2,776
7/24/2015,3,759
7/24/2015,4,743
7/24/2015,5,780
7/24/2015,6,835
7/24/2015,7,954
7/24/2015,8,1057
7/24/2015,9,1097
7/24/2015,10,1141
7/24/2015,11,1160
7/24/2015,12,1153
7/24/2015,13,1163
7/24/2015,14,1146
7/24/2015,15,1173
7/24/2015,16,1162
7/24/2015,17,1165
7/24/2015,18,1157
7/24/2015,19,1112
7/24/2015,20,1077
7/24/2015,21,1057
7/24/2015,22,1063
7/24/2015,23,1014
7/24/2015,24,941
7/25/2015,1,885
7/25/2015,2,843
7/25/2015,3,814
7/25/2015,4,804
7/25/2015,5,792
7/25/2015,6,800
7/25/2015,7,836
7/25/2015,8,874
7/25/2015,9,962
7/25/2015,10,1010
7/25/2015,11,1047
7/25/2015,12,1058
7/25/2015,13,1057
7/25/2015,14,1048
7/25/2015,15,1034
7/25/2015,16,1004
7/25/2015,17,1007
7/25/2015,18,1004
7/25/2015,19,1005
7/25/2015,20,981
7/25/2015,21,974
7/25/2015,22,989
7/25/2015,23,953
7/25/2015,24,899
7/26/2015,1,843
7/26/2015,2,808
7/26/2015,3,790
7/26/2015,4,778
7/26/2015,5,771
7/26/2015,6,781
7/26/2015,7,799
7/26/2015,8,835
7/26/2015,9,901
7/26/2015,10,946
7/26/2015,11,995
7/26/2015,12,1005
7/26/2015,13,1030
7/26/2015,14,1028
7/26/2015,15,1028
7/26/2015,16,1013
7/26/2015,17,1034
7/26/2015,18,1050
7/26/2015,19,1040
7/26/2015,20,1025
7/26/2015,21,1010
7/26/2015,22,1013
7/26/2015,23,975
7/26/2015,24,894
7/27/2015,1,837
7/27/2015,2,811
7/27/2015,3,785
7/27/2015,4,786
7/27/2015,5,813
7/27/2015,6,855
7/27/2015,7,954
7/27/2015,8,1069
7/27/2015,9,1122
7/27/2015,10,1146
7/27/2015,11,1173
7/27/2015,12,1177
7/27/2015,13,1179
7/27/2015,14,1177
7/27/2015,15,1184
7/27/2015,16,1167
7/27/2015,17,1182
7/27/2015,18,1167
7/27/2015,19,1141
7/27/2015,20,1103
7/27/2015,21,1096
7/27/2015,22,1106
7/27/2015,23,1026
7/27/2015,24,943
7/28/2015,1,870
7/28/2015,2,834
7/28/2015,3,807
7/28/2015,4,799
7/28/2015,5,821
7/28/2015,6,869
7/28/2015,7,917
7/28/2015,8,1020
7/28/2015,9,1076
7/28/2015,10,1113
7/28/2015,11,1128
7/28/2015,12,1156
7/28/2015,13,1158
7/28/2015,14,1178
7/28/2015,15,1196
7/28/2015,16,1183
7/28/2015,17,1192
7/28/2015,18,1184
7/28/2015,19,1139
7/28/2015,20,1105
7/28/2015,21,1078
7/28/2015,22,1083
7/28/2015,23,1010
7/28/2015,24,910
7/29/2015,1,835
7/29/2015,2,798
7/29/2015,3,772
7/29/2015,4,763
7/29/2015,5,777
7/29/2015,6,828
7/29/2015,7,942
7/29/2015,8,1062
7/29/2015,9,1112
7/29/2015,10,1152
7/29/2015,11,1184
7/29/2015,12,1206
7/29/2015,13,1217
7/29/2015,14,1239
7/29/2015,15,1238
7/29/2015,16,1245
7/29/2015,17,1253
7/29/2015,18,1244
7/29/2015,19,1201
7/29/2015,20,1162
7/29/2015,21,1141
7/29/2015,22,1131
7/29/2015,23,1062
7/29/2015,24,957
7/30/2015,1,880
7/30/2015,2,834
7/30/2015,3,806
7/30/2015,4,785
7/30/2015,5,805
7/30/2015,6,855
7/30/2015,7,965
7/30/2015,8,1065
7/30/2015,9,1142
7/30/2015,10,1172
7/30/2015,11,1210
7/30/2015,12,1239
7/30/2015,13,1260
7/30/2015,14,1270
7/30/2015,15,1303
7/30/2015,16,1288
7/30/2015,17,1292
7/30/2015,18,1287
7/30/2015,19,1235
7/30/2015,20,1203
7/30/2015,21,1175
7/30/2015,22,1166
7/30/2015,23,1099
7/30/2015,24,989
7/31/2015,1,914
7/31/2015,2,855
7/31/2015,3,832
7/31/2015,4,812
7/31/2015,5,855
7/31/2015,6,912
7/31/2015,7,1033
7/31/2015,8,1136
7/31/2015,9,1202
7/31/2015,10,1246
7/31/2015,11,1259
7/31/2015,12,1289
7/31/2015,13,1299
7/31/2015,14,1311
7/31/2015,15,1330
7/31/2015,16,1325
7/31/2015,17,1341
7/31/2015,18,1320
7/31/2015,19,1256
7/31/2015,20,1198
7/31/2015,21,1166
7/31/2015,22,1166
7/31/2015,23,1104
7/31/2015,24,1022
8/1/2015,1,944
8/1/2015,2,898
8/1/2015,3,866
8/1/2015,4,843
8/1/2015,5,838
8/1/2015,6,851
8/1/2015,7,866
8/1/2015,8,938
8/1/2015,9,1026
8/1/2015,10,1090
8/1/2015,11,1132
8/1/2015,12,1153
8/1/2015,13,1169
8/1/2015,14,1168
8/1/2015,15,1166
8/1/2015,16,1167
8/1/2015,17,1178
8/1/2015,18,1178
8/1/2015,19,1173
8/1/2015,20,1147
8/1/2015,21,1113
8/1/2015,22,1127
8/1/2015,23,1072
8/1/2015,24,995
8/2/2015,1,931
8/2/2015,2,894
8/2/2015,3,866
8/2/2015,4,848
8/2/2015,5,840
8/2/2015,6,842
8/2/2015,7,856
8/2/2015,8,897
8/2/2015,9,971
8/2/2015,10,1022
8/2/2015,11,1069
8/2/2015,12,1101
8/2/2015,13,1120
8/2/2015,14,1123
8/2/2015,15,1136
8/2/2015,16,1137
8/2/2015,17,1170
8/2/2015,18,1196
8/2/2015,19,1180
8/2/2015,20,1140
8/2/2015,21,1156
8/2/2015,22,1162
8/2/2015,23,1097
8/2/2015,24,1000
8/3/2015,1,926
8/3/2015,2,890
8/3/2015,3,862
8/3/2015,4,860
8/3/2015,5,879
8/3/2015,6,942
8/3/2015,7,1048
8/3/2015,8,1131
8/3/2015,9,1179
8/3/2015,10,1205
8/3/2015,11,1218
8/3/2015,12,1256
8/3/2015,13,1241
8/3/2015,14,1279
8/3/2015,15,1291
8/3/2015,16,1288
8/3/2015,17,1293
8/3/2015,18,1295
8/3/2015,19,1250
8/3/2015,20,1187
8/3/2015,21,1180
8/3/2015,22,1184
8/3/2015,23,1100
8/3/2015,24,1004
8/4/2015,1,925
8/4/2015,2,870
8/4/2015,3,850
8/4/2015,4,842
8/4/2015,5,847
8/4/2015,6,890
8/4/2015,7,1015
8/4/2015,8,1116
8/4/2015,9,1153
8/4/2015,10,1173
8/4/2015,11,1181
8/4/2015,12,1203
8/4/2015,13,1229
8/4/2015,14,1231
8/4/2015,15,1241
8/4/2015,16,1223
8/4/2015,17,1230
8/4/2015,18,1215
8/4/2015,19,1139
8/4/2015,20,1088
8/4/2015,21,1071
8/4/2015,22,1072
8/4/2015,23,994
8/4/2015,24,900
8/5/2015,1,828
8/5/2015,2,787
8/5/2015,3,766
8/5/2015,4,757
8/5/2015,5,773
8/5/2015,6,825
8/5/2015,7,928
8/5/2015,8,1029
8/5/2015,9,1079
8/5/2015,10,1094
8/5/2015,11,1099
8/5/2015,12,1106
8/5/2015,13,1105
8/5/2015,14,1131
8/5/2015,15,1138
8/5/2015,16,1143
8/5/2015,17,1117
8/5/2015,18,1111
8/5/2015,19,1068
8/5/2015,20,1033
8/5/2015,21,1040
8/5/2015,22,1031
8/5/2015,23,954
8/5/2015,24,869
8/6/2015,1,807
8/6/2015,2,768
8/6/2015,3,749
8/6/2015,4,744
8/6/2015,5,761
8/6/2015,6,818
8/6/2015,7,937
8/6/2015,8,1030
8/6/2015,9,1076
8/6/2015,10,1101
8/6/2015,11,1116
8/6/2015,12,1131
8/6/2015,13,1140
8/6/2015,14,1164
8/6/2015,15,1146
8/6/2015,16,1152
8/6/2015,17,1152
8/6/2015,18,1153
8/6/2015,19,1107
8/6/2015,20,1075
8/6/2015,21,1055
8/6/2015,22,1051
8/6/2015,23,985
8/6/2015,24,895
8/7/2015,1,829
8/7/2015,2,782
8/7/2015,3,758
8/7/2015,4,753
8/7/2015,5,783
8/7/2015,6,861
8/7/2015,7,962
8/7/2015,8,1064
8/7/2015,9,1130
8/7/2015,10,1167
8/7/2015,11,1210
8/7/2015,12,1219
8/7/2015,13,1226
8/7/2015,14,1230
8/7/2015,15,1240
8/7/2015,16,1226
8/7/2015,17,1227
8/7/2015,18,1211
8/7/2015,19,1164
8/7/2015,20,1117
8/7/2015,21,1101
8/7/2015,22,1102
8/7/2015,23,1046
8/7/2015,24,973
8/8/2015,1,912
8/8/2015,2,860
8/8/2015,3,833
8/8/2015,4,817
8/8/2015,5,815
8/8/2015,6,824
8/8/2015,7,842
8/8/2015,8,894
8/8/2015,9,987
8/8/2015,10,1029
8/8/2015,11,1065
8/8/2015,12,1084
8/8/2015,13,1090
8/8/2015,14,1100
8/8/2015,15,1095
8/8/2015,16,1066
8/8/2015,17,1077
8/8/2015,18,1060
8/8/2015,19,1050
8/8/2015,20,1020
8/8/2015,21,1018
8/8/2015,22,1029
8/8/2015,23,988
8/8/2015,24,927
8/9/2015,1,875
8/9/2015,2,829
8/9/2015,3,804
8/9/2015,4,792
8/9/2015,5,790
8/9/2015,6,803
8/9/2015,7,809
8/9/2015,8,868
8/9/2015,9,931
8/9/2015,10,1006
8/9/2015,11,1035
8/9/2015,12,1057
8/9/2015,13,1047
8/9/2015,14,1057
8/9/2015,15,1066
8/9/2015,16,1086
8/9/2015,17,1108
8/9/2015,18,1120
8/9/2015,19,1127
8/9/2015,20,1104
8/9/2015,21,1091
8/9/2015,22,1107
8/9/2015,23,1032
8/9/2015,24,942
8/10/2015,1,870
8/10/2015,2,839
8/10/2015,3,827
8/10/2015,4,820
8/10/2015,5,839
8/10/2015,6,911
8/10/2015,7,1018
8/10/2015,8,1106
8/10/2015,9,1139
8/10/2015,10,1173
8/10/2015,11,1216
8/10/2015,12,1247
8/10/2015,13,1252
8/10/2015,14,1260
8/10/2015,15,1269
8/10/2015,16,1274
8/10/2015,17,1282
8/10/2015,18,1278
8/10/2015,19,1227
8/10/2015,20,1181
8/10/2015,21,1167
8/10/2015,22,1164
8/10/2015,23,1075
8/10/2015,24,978
8/11/2015,1,902
8/11/2015,2,856
8/11/2015,3,836
8/11/2015,4,832
8/11/2015,5,837
8/11/2015,6,896
8/11/2015,7,997
8/11/2015,8,1098
8/11/2015,9,1160
8/11/2015,10,1200
8/11/2015,11,1234
8/11/2015,12,1256
8/11/2015,13,1270
8/11/2015,14,1282
8/11/2015,15,1289
8/11/2015,16,1293
8/11/2015,17,1303
8/11/2015,18,1268
8/11/2015,19,1190
8/11/2015,20,1153
8/11/2015,21,1148
8/11/2015,22,1130
8/11/2015,23,1043
8/11/2015,24,949
8/12/2015,1,877
8/12/2015,2,833
8/12/2015,3,796
8/12/2015,4,796
8/12/2015,5,809
8/12/2015,6,866
8/12/2015,7,979
8/12/2015,8,1072
8/12/2015,9,1136
8/12/2015,10,1187
8/12/2015,11,1217
8/12/2015,12,1210
