date,hour,mwh
7/21/2015,16H,565
7/21/2015,17H,563
7/21/2015,18H,619
7/21/2015,19H,678
7/21/2015,20H,681
7/21/2015,21H,522
7/21/2015,22H,663
7/21/2015,23H,654
7/22/2015,00H,537
7/22/2015,01H,399
7/22/2015,02H,361
7/22/2015,03H,398
7/22/2015,04H,454
7/22/2015,05H,399
7/22/2015,06H,423
7/22/2015,07H,289
7/22/2015,08H,245
7/22/2015,09H,242
7/22/2015,10H,225
7/22/2015,11H,230
7/22/2015,12H,222
7/22/2015,13H,247
7/22/2015,14H,396
7/22/2015,15H,515
7/22/2015,16H,618
7/22/2015,17H,565
7/22/2015,18H,581
7/22/2015,19H,633
7/22/2015,20H,652
7/22/2015,21H,638
7/22/2015,22H,590
7/22/2015,23H,639
7/23/2015,00H,643
7/23/2015,01H,559
7/23/2015,02H,502
7/23/2015,03H,560
7/23/2015,04H,693
7/23/2015,05H,590
7/23/2015,06H,552
7/23/2015,07H,365
7/23/2015,08H,281
7/23/2015,09H,215
7/23/2015,10H,216
7/23/2015,11H,227
7/23/2015,12H,199
7/23/2015,13H,249
7/23/2015,14H,268
7/23/2015,15H,471
7/23/2015,16H,533
7/23/2015,17H,607
7/23/2015,18H,639
7/23/2015,19H,654
7/23/2015,20H,752
7/23/2015,21H,800
7/23/2015,22H,654
7/23/2015,23H,594
7/24/2015,00H,556
7/24/2015,01H,569
7/24/2015,02H,539
7/24/2015,03H,449
7/24/2015,04H,505
7/24/2015,05H,404
7/24/2015,06H,254
7/24/2015,07H,312
7/24/2015,08H,324
7/24/2015,09H,242
7/24/2015,10H,216
7/24/2015,11H,211
7/24/2015,12H,231
7/24/2015,13H,309
7/24/2015,14H,285
7/24/2015,15H,406
7/24/2015,16H,538
7/24/2015,17H,515
7/24/2015,18H,530
7/24/2015,19H,657
7/24/2015,20H,683
7/24/2015,21H,523
7/24/2015,22H,608
7/24/2015,23H,557
7/25/2015,00H,545
7/25/2015,01H,568
7/25/2015,02H,555
7/25/2015,03H,408
7/25/2015,04H,455
7/25/2015,05H,463
7/25/2015,06H,426
7/25/2015,07H,367
7/25/2015,08H,297
7/25/2015,09H,289
7/25/2015,10H,267
7/25/2015,11H,264
